Region,Sub Region,Country,Year,Count,Rate
Europe,Eastern Europe,Poland,2016,14340,37.53865657
Europe,Eastern Europe,Romania,2016,1364,6.896214201
Europe,Eastern Europe,Russian Federation,2016,34848,24.22224305
Europe,Eastern Europe,Slovakia,2016,1671,30.70711258
Europe,Northern Europe,Denmark,2016,241,4.220432378
Europe,Northern Europe,Finland,2016,5991,108.895594
Europe,Northern Europe,Iceland,2016,57,17.12552045
Europe,Northern Europe,Ireland,2016,4857,102.5184371
Europe,Northern Europe,Latvia,2016,975,49.42383969
Europe,Northern Europe,Lithuania,2016,1263,43.31236804
Europe,Northern Europe,Norway,2016,4468,85.10799115
Europe,Northern Europe,Sweden,2016,25184,256.0601894
Europe,Northern Europe,United Kingdom (England and Wales),2016,87103,149.58866
Europe,Northern Europe,United Kingdom (Northern Ireland),2016,1561,83.80800451
Europe,Northern Europe,United Kingdom (Scotland),2016,5216,96.50624924
Europe,Southern Europe,Albania,2016,298,10.18076043
Europe,Southern Europe,Bosnia and Herzegovina,2016,1029,29.16330561
Europe,Southern Europe,Croatia,2016,890,21.13010647
Europe,Southern Europe,Greece,2016,26312.88684,235.046546
Europe,Southern Europe,Italy,2016,156942,264.0796972
Europe,Southern Europe,Kosovo under UNSCR 1244,2016,295,16.24270455
Europe,Southern Europe,Montenegro,2016,38,6.046909377
Europe,Southern Europe,Portugal,2016,11531,111.1051757
Europe,Southern Europe,Serbia,2016,1507,17.0826676
Europe,Southern Europe,Slovenia,2016,815,39.25364705
Europe,Southern Europe,Spain,2016,31678,68.25687944
Europe,Western Europe,Austria,2016,9023,103.7201211
Europe,Western Europe,France,2016,161512,249.5936022
Europe,Western Europe,Germany,2016,59633,72.83479574
Europe,Western Europe,Liechtenstein,2016,4,10.62377495
Europe,Western Europe,Netherlands,2016,31301,184.2639602
Europe,Western Europe,Switzerland,2016,6045,72.05068306
Oceania,Australia and New Zealand,Australia,2016,51012,211.4989156
